21, 0, 0
21, 0, 0
39, 0, 0
39, 0, 0
51, 0, 0
51, 0, 0
65, 0, 0
118, 0, 0
118, 0, 0
118, 0, 21
164, 0, 21
164, 0, 21
165, 0, 0
190, 0, 21
190, 0, 21
190, 0, 15
190, 0, 20
190, 0, 20
219, 0, 21
219, 0, 21
219, 0, 29
219, 0, 21
248, 0, 28
249, 0, 21
249, 0, 28
249, 0, 20
249, 0, 15
281, 0, 28
281, 0, 14
281, 0, 28
314, 0, 28
315, 0, 28
315, 0, 20
350, 0, 21
350, 0, 28
350, 0, 29
350, 0, 28
350, 0, 21
350, 0, 29
388, 0, 28
389, 0, 14
428, 0, 29
428, 0, 21
428, 0, 21
428, 0, 38
428, 0, 38
428, 0, 21
428, 0, 38
428, 0, 38
428, 0, 21
428, 0, 28
428, 0, 50
428, 0, 29
428, 0, 50
428, 0, 50
428, 0, 39
428, 0, 50
428, 0, 38
428, 0, 38
428, 0, 50
428, 0, 50
428, 0, 50
428, 0, 38
428, 0, 50
428, 0, 50
428, 0, 38
428, 0, 50
428, 0, 50
428, 0, 38
428, 0, 50
428, 0, 50
428, 0, 38
428, 0, 50
428, 0, 50
428, 0, 38
428, 0, 50
428, 0, 50
428, 0, 50
428, 0, 50
